,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
115,Dollop Coffee Co.,1,5,3,"814 N Wells St, Chicago, IL 60610, USA",41.8971795,-87.6345512
204,Knockout Grill,1,4.1,9,"8100 S Stony Is Ave, Chicago, IL 60617, USA",41.7475492,-87.5863463
933,Jin Asian Cafe,1,5,9,"1053 W Belmont Ave, Chicago, IL 60657, USA",41.9396117,-87.6562438
1203,Nicks Fire Grill Steak & Lemonade Inc,1,4.3,12,"2900 W 63rd St, Chicago, IL 60629, USA",41.7794552,-87.6961885
1223,Spicy Grandma Kitchen A?uE?aA(C)U,1,4,13,"2353 S Wentworth Ave, Chicago, IL 60616, USA",41.8494563,-87.6317029
769,Tony's Chinese & American Restaurant,1,4.6,13,"6347 W Grand Ave, Chicago, IL 60639, USA",41.922204,-87.7847301
856,Taqueria y Pizzeria Los Dos Hermanos,1,4.9,14,"3259 W 63rd St, Chicago, IL 60629, USA",41.7787264,-87.7051378
268,Naf Naf Grill,1,3.3,15,"1248 S Canal St, Chicago, IL 60607, USA",41.8658483,-87.6403262
799,Taqueria el pikante,1,4,17,"4147 S Kedzie Ave, Chicago, IL 60632, USA",41.8176114,-87.7039599
591,See Thru Chinese Kitchen,1,3.8,19,"800 N Kedzie Ave, Chicago, IL 60651, USA",41.8958474,-87.7074375
1016,Pizza Hut Express,1,3.4,20,"Citigroup Center, 500 W Madison St Suite F-009, Chicago, IL 60661, USA",41.8823062,-87.6403882
505,Erik's Deli & Eatery,1,3.8,22,"525 W Van Buren St #100, Chicago, IL 60607, USA",41.8766621,-87.6401615
929,Klay Oven Kitchen,1,4.4,26,"131 N Clinton St, Chicago, IL 60661, USA",41.8840838,-87.6408648
307,Cilantro Taco Grill - Old Town,1,4.6,26,"333 W North Ave, Chicago, IL 60610, USA",41.9107555,-87.6381833
128,Pegasus Protein Juice Bar,1,4.8,26,"1863 N Clybourn Ave, Chicago, IL 60614, USA",41.9150441,-87.6548019
113,Atolito Mexican Catering,1,4.4,27,"4024 N Milwaukee Ave, Chicago, IL 60641, USA",41.9537999,-87.7483815
612,Joker's Cajun Kitchen,1,4.6,32,"131 N Clinton St, Chicago, IL 60661, USA",41.884137,-87.640973
335,K-Kitchen,1,4,35,"131 N Clinton St, Chicago, IL 60661, USA",41.8840556,-87.6406528
719,Olive Mediterranean Grill,1,4.4,40,"186 W Van Buren St, Chicago, IL 60605, USA",41.876957,-87.633336
1032,Taquer?=a la esmeralda inc,1,4.5,40,"6310 N Western Ave, Chicago, IL 60659, USA",41.9963813,-87.6901057
194,Deli Boutique Wine & Spirits,1,3.6,45,"2318 N Clark St, Chicago, IL 60614, USA",41.9241865,-87.639925
211,Memories,1,4.3,47,"6325 N Clark St, Chicago, IL 60660, USA",41.997147,-87.669983
512,Ziggy?Aos Side-Door Pub,1,4.5,51,"6158 W 63rd St, Chicago, IL 60638, USA",41.7779623,-87.7761843
1147,Dosbros Fresh Mexican Grill,1,4.3,52,"629 N Wells St, Chicago, IL 60654, USA",41.8933663,-87.6339
774,Mr Taco's Restaurant,1,3.8,55,"1640 W Chicago Ave, Chicago, IL 60622, USA",41.8963116,-87.6688464
228,Smoothie joint,1,4.7,56,"948 W Newport Ave, Chicago, IL 60657, USA",41.9446048,-87.653817
595,Thiago's Restaurant Mexican-American Food,1,4.9,58,"3658 W Lawrence Ave, Chicago, IL 60625, USA",41.968457,-87.7205521
534,Epic Kitchens,1,4.3,59,"3332 N Broadway, Chicago, IL 60657, USA",41.942636,-87.6447006
1162,Chai's Asian Bistro,1,4.3,62,"4748 W Peterson Ave, Chicago, IL 60646, USA",41.9901236,-87.7478798
912,El Mezquite,1,4.5,62,"3121 W Cermak Rd, Chicago, IL 60623, USA",41.8516139,-87.7037014
336,Don Pablo's kitchen & Bakeshop,1,4.9,62,"1007 W Argyle St, Chicago, IL 60640, USA",41.9731378,-87.6553356
397,Guey Lon Restaurant,1,4.6,63,"3968 N Elston Ave, Chicago, IL 60618, USA",41.9531842,-87.7186904
222,Last Call Lounge,1,4.3,65,"6316 W 65th St, Chicago, IL 60638, USA",41.7742713,-87.7794054
873,Chepe's Tacos,1,4.1,66,"2007 S Damen Ave, Chicago, IL 60608, USA",41.8546529,-87.6757563
19,The Wormhole 2,1,4.4,68,"1956 N Western Ave, Chicago, IL 60647, USA",41.9171228,-87.6876297
636,Karolinka Club,1,4.6,70,"6102 S Central Ave, Chicago, IL 60638, USA",41.781533,-87.762133
1240,Dynamic African Cuisine Inc,1,4.1,71,"1127 W Thorndale Ave, Chicago, IL 60660, USA",41.9896059,-87.6592843
1063,Cilantro Taco Grill - Lincoln Park,1,4.4,75,"2256 N Orchard St, Chicago, IL 60614, USA",41.9235005,-87.6465331
851,Modern Grill,1,4.2,77,"3171 N Halsted St, Chicago, IL 60657, USA",41.9398728,-87.6491139
298,Marinero Restaurant + Bar,1,3.9,82,"2916 W Irving Park Rd, Chicago, IL 60618, USA",41.9541934,-87.7014645
555,Snack Shop,1,4.3,87,"452 W Pershing Rd, Chicago, IL 60609, USA",41.8239053,-87.6382579
1078,Jet's Public House,1,4.4,87,"6148 N Milwaukee Ave, Chicago, IL 60646, USA",41.9933319,-87.7843093
1227,Sunnyday Tap,1,4.5,87,"4953 N Elston Ave, Chicago, IL 60630, USA",41.9707221,-87.7441864
991,Dawali Jerusalem Kitchen,1,4.7,88,"319 S Jefferson St, Chicago, IL 60661, USA",41.8773918,-87.6423531
1119,Skidoe's,1,4.4,93,"235 E 51st St, Chicago, IL 60615, USA",41.8018725,-87.6198096
1192,Spicy Mexican Grill,1,4.4,94,"3925 N Lincoln Ave #2417, Chicago, IL 60613, USA",41.9530695,-87.6778406
835,Cilantro Taco House,1,4.4,95,"3336 W Lawrence Ave, Chicago, IL 60625, USA",41.9685212,-87.7124231
1214,The Outpost Mexican Eatery,1,4.5,95,"520 W Harrison St, Chicago, IL 60607, USA",41.8744799,-87.6404071
134,Living Water Tea House,1,4.8,100,"1453 W Taylor St, Chicago, IL 60607, USA",41.8691224,-87.6636895
1233,Great Wall,1,3.6,101,"6748 N Sheridan Rd, Chicago, IL 60626, USA",42.0049025,-87.6611734
289,La Encantada Restaurant,1,4.6,102,"3437 W North Ave, Chicago, IL 60647, USA",41.9098636,-87.7135048
437,Van Phat Chinese Restaurant,1,3.8,103,"2750 N Kimball Ave, Chicago, IL 60647, USA",41.9316643,-87.7125945
162,Heritage Outpost,1,4.5,103,"1020 West Lawrence Avenue #1 Lobby, Chicago, IL 60640, USA",41.9691945,-87.6559689
