,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
767,The Market,NULL,1.7,6,"5700 S Cicero Ave, Chicago, IL 60629, USA",41.7871869,-87.7448002
466,Big City Chicken,NULL,2.2,63,"Concourse B, O'Hare International Airport, Gate B7, Chicago, IL 60638, USA",41.7883487,-87.7437026
294,Harold's Chicken On Clinton,NULL,2.3,24,"115 S Clinton St, Chicago, IL 60661, USA",41.8800411,-87.6409648
192,Hudson News Euro Cafe,NULL,2.4,5,"5700 S Cicero Ave, Chicago, IL 60638, USA",41.7878473,-87.7419597
88,Baskin-Robbins,1,2.5,13,"901 W Washington Blvd, Chicago, IL 60607, USA",41.8829483,-87.6498902
1000,Aunt Martha's,NULL,2.6,25,"5001 S Michigan Ave, Chicago, IL 60615, USA",41.8037306,-87.6224262
576,Barney's Pizza Chicago,1,2.8,561,"5648 W Chicago Ave, Chicago, IL 60651, USA",41.8949803,-87.7674055
1232,Ina's Restaurant,NULL,2.8,5,"1738 W 47th St, Chicago, IL 60609, USA",41.8087804,-87.6689508
110,Frankie's Fast Food Corner,1,3,3,"10356 S Corliss Ave, Chicago, IL 60628, USA",41.7057555,-87.6042097
232,Papa Johns Pizza,1,3,139,"2020 N California Ave Ste 2, Chicago, IL 60647, USA",41.918111,-87.6976307
380,El Ranchito on Grand,1,3,575,"5959 W Grand Ave, Chicago, IL 60639, USA",41.9203807,-87.7754302
238,La Michoacana,NULL,3,60,"5754 W Belmont Ave, Chicago, IL 60634, USA",41.9386367,-87.7712097
332,The G Spot Diner,NULL,3,2,"219 E 47th St, Chicago, IL 60653, USA",41.8091557,-87.6203152
1025,UChicago Medicine,NULL,3,568,"5841 S Maryland Ave, Chicago, IL 60637, USA",41.7892944,-87.6039963
48,Woodgrain Pizzeria,NULL,3.1,94,"5700 S Cicero Ave, Chicago, IL 60638, USA",41.7858688,-87.742156
1113,Texan Taco Bar,NULL,3.1,60,"942 W Randolph St, Chicago, IL 60607, USA",41.8845908,-87.6515997
69,McDonald's,1,3.2,1834,"70 E Garfield Blvd, Chicago, IL 60615, USA",41.795018,-87.62294
112,KFC,1,3.2,569,"300 E 35th St, Chicago, IL 60616, USA",41.8312875,-87.6189845
118,Little Caesars Pizza,1,3.2,456,"1406 W 47th St, Chicago, IL 60609, USA",41.8090402,-87.6602261
129,Popeyes Louisiana Kitchen,1,3.2,1418,"7430 S Stony Is Ave, Chicago, IL 60649, USA",41.7593472,-87.5864919
