,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
258,Wolfgang Puck Catering,3,5,1,"450 Cityfront Plaza Dr, Chicago, IL 60611, USA",41.8896872,-87.622225
95,Kenny's Ribs & Chicken,2,5,1,"8601 S Stony Is Ave, Chicago, IL 60617, USA",41.7386007,-87.5849762
902,Hallmark Retirement Community,2,5,1,"Brook Dale, 2960 N Lake Shore Dr, Chicago, IL 60657, USA",41.9359584,-87.6372588
915,El Braserito,2,5,1,"4419 W Fullerton Ave, Chicago, IL 60639, USA",41.9241208,-87.7373791
953,Auntie Anne's,1,5,1,"11601 W Touhy Ave, O'Hare International Airport, Terminal 2, Ef Concourse, Chicago, IL 60666, USA",41.9765095,-87.9050134
1125,Jerk valley,NULL,1,1,"1556 S Pulaski Rd, Chicago, IL 60623, USA",41.8592256,-87.7251596
506,Fruve xPress Juicery,NULL,3,1,"1374 E 53rd St, Chicago, IL 60615, USA",41.7996305,-87.5919456
309,Chief,NULL,4,1,"1036 W Fulton Market #200, Chicago, IL 60607, USA",41.8869899,-87.6536401
20,Abbott Hall - Northwestern University,NULL,5,1,"710 N Lake Shore Dr, Chicago, IL 60611, USA",41.8953266,-87.616948
158,Ladybug and Friends Daycare & Preschool,NULL,5,1,"7652 W Touhy Ave, Chicago, IL 60631, USA",42.0115252,-87.8184724
228,Wolverine Trading LLC,NULL,5,1,"175 W Jackson Blvd #200, Chicago, IL 60604, USA",41.877487,-87.63319
290,166 E Superior St Parking,NULL,5,1,"200 E Superior St, Chicago, IL 60611, USA",41.89608,-87.622465
403,Sugar Baby's Cafe & Grill,NULL,5,1,"742 W Garfield Blvd, Chicago, IL 60609, USA",41.794455,-87.6444895
473,Healthy Organic Kids,NULL,5,1,"1334 N Cicero Ave, Chicago, IL 60651, USA",41.9051982,-87.7464756
650,Ciccio,NULL,5,1,"600 East Grand Avenue SA-16, Chicago, IL 60611, USA",41.8917065,-87.6084807
742,Margarita's Healthy Bar,NULL,5,1,"2850 W 63rd St, Chicago, IL 60629, USA",41.7792949,-87.6953793
881,Pretty Cool Ice Cream,NULL,5,1,"709 W Belden Ave, Chicago, IL 60614, USA",41.9235003,-87.6467996
923,Infuse Hospitality,NULL,5,1,"800 W Fulton Market, Chicago, IL 60607, USA",41.8869109,-87.6476511
